Account ID	Shares	Share of total	Recovered	Comment
0x8741e8ff675accb88be2886415292fc9f4984130	7422875838933	77.834924%	$3,151,049.0713762	
0x1af8aa70cd2fdc8b0c97d632de8dc8894e043b47	801339689146	8.402702%	$340,172.8303330	
0xa9ca4909700505585b1ad2a1579da3b670ffa9c4	460165442633	4.825211%	$195,342.6033456	Term / HR fleet
0xc3042971b9207f030867f815250d2798e7b0b131	213162002280	2.235178%	$90,488.3691863	
0xd6ab3f77b2020576cfe5da47dc16660de214a72c	120977126106	1.268544%	$51,355.4138781	
0x26c60b38fe7e55d699c8102c18cc5d7152e0762e	115721615610	1.213436%	$49,124.4225713	
0x48b8eaaf95b14186ae1b6505e91e436b1ce70d20	105295754982	1.104112%	$44,698.5909714	
0x709283020b1ccac42413903c6dbbe3e523a4b41d	89315833930	0.936550%	$37,915.0320807	
0x00f2654805b4d6df5d5065c5773f15a5a7ed1a7c	65228277642	0.683972%	$27,689.7402235	
0xaab339713c606be88f505c27bb69cf0bcd148225	46341466513	0.485928%	$19,672.1915051	
0x7b19edcb615b3064efbcb189e38e0390b67cb1e3	29491030059	0.309238%	$12,519.0943373	
0x7bf716167b48cf527725722c6d79494b45b3bdca	0	0.000000%	$0.0000000	Exploiter
0xa1b905648a8c42a80e7eceac642d342d4cc94ee3	14254823849	0.149473%	$6,051.2462321	
0x997a09bfd2da43ed2d6ffd70e5b907ccf2fe7334	11690897708	0.122589%	$4,962.8463638	
0xdc7db9996f43932221aaaf71dd127f6adf6970a7	9846668962	0.103250%	$4,179.9617510	
0x0043f8113eb1257bc6314fe0434eec0d9bac3837	4799600171	0.050328%	$2,037.4550228	
0x89e8bfa440537f8e6661c293f9010dbc2617bccc	4138956460	0.043400%	$1,757.0083607	
0x558645916b7128bf7f6a33bd499012028b69aecf	3862113730	0.040497%	$1,639.4871943	
0xaedf72d38fffa206ba798a0510dd6babd82d28a4	3235313382	0.033925%	$1,373.4072143	
0x8f668c104e0b1472bd2556508443f57d1de0e9f4	2010782584	0.021085%	$853.5875760	
0x7e475a846af78e49aa56f05706530bc5ebe58ea8	1902823129	0.019953%	$807.7582306	
0xff3145d93985985c7a7e8af6a6892830f9cdd636	1073255604	0.011254%	$455.6025384	
0x8b7775340aff7e79a232839992662f0e4843ad42	951255275	0.009975%	$403.8127696	
0xe301eae99f589f6cb008f2cd18afd2070d639ca0	732545844	0.007681%	$310.9694883	
0x2d0ee6d8306dcadf05dfb577fba531c79fe28d1d	719525485	0.007545%	$305.4422788	
0x66102188f2db5ad0e80aafa62d28e3aca18d695f	710293008	0.007448%	$301.5230447	
0xfdc068bf592c1711c14ae868c4d1668d70ef325e	529619010	0.005553%	$224.8260008	
0x062db96bd5f09b667543400de00bd3fac9463a1b	476916124	0.005001%	$202.4533540	
0xa945352f1fe605beb9c3c2a09557d3ef9a056fb1	476711361	0.004999%	$202.3664310	
0xcbf866232e25c4d35e8e0e4c9bf4953801c0f512	471225690	0.004941%	$200.0377354	
0x94d6bb18ad375fd9254cddd8c6cf5b22a344f46b	465471674	0.004881%	$197.5951259	
0xa8728e547ca1c5c8bc830ffa17795756736867ea	446715097	0.004684%	$189.6328623	
0x674642ca7fb0580280fcda70f50bd72338fb1f95	381170348	0.003997%	$161.8087783	
0xc3031ecadf154ce0af99187c7655ba142ab06075	332647762	0.003488%	$141.2106903	
0x60302cd27290ccfce71a4bfb017896365870783b	315551790	0.003309%	$133.9533621	
0x6b7d5c7ada52be7f823bd2dc12a7578ebe74d3bc	308236851	0.003232%	$130.8481327	
0x3c76392a81d15101e440a81c61db02570f597703	279724486	0.002933%	$118.7444868	
0xcf9459c2eb15ffb6bbc788d04e741187eebc036a	238170068	0.002497%	$101.1044220	
0x43a8b03ad5a84af08c0f8210d56e9c3e60bb96b2	219784941	0.002305%	$93.2998408	
0x7d49f7273c5f95638232af1370e4c7057cb24278	198654447	0.002083%	$84.3298372	
0xa19e9273517ab52905ac9da976003dc46fad0f21	197234071	0.002068%	$83.7268802	
0x47fc2984fca6d709120863e7e425ee4abbc7c7f4	171599005	0.001799%	$72.8446625	
0x28975746103747f81ac4d23a197ecc5aa6ff68a0	170203937	0.001785%	$72.2524490	
0xe06d1654b96870677ddf51bdadc515575f3e0db8	142999396	0.001499%	$60.7039810	
0x1565828db7bb5f98aa87cf1c953872fd4e08fc65	123932720	0.001300%	$52.6100787	
0xf8fe5785869d4eb700cf853b4246c1724c3100be	99569487	0.001044%	$42.2677607	
0x7a9c327742c11f0f9c57f8309bf758acba7e7656	95332880	0.001000%	$40.4692992	
0x0970136bcb9e8d3efd8bc653fe06e3637ae845d2	94781541	0.000994%	$40.2352529	
0x39d1288c952fc925baae7da86f49b5b91ccc8ea9	86732724	0.000909%	$36.8184886	
0xf6c9981414ecff9dafc076898f5a16d34186ae32	72282587	0.000758%	$30.6843309	
0xddc68f9de415ba2fe2fd84bc62be2d2cff1098da	57202408	0.000600%	$24.2827172	
0x38430336153468dcf36af5cea7d6bc472425633a	49129285	0.000515%	$20.8556348	
0x00fb95f17e5b617fc0f395185ed349aa76f96a95	35876910	0.000376%	$15.2299333	
0xea57dc30959eb17c506e4da095fa9181f3e0ac6d	28396197	0.000298%	$12.0543321	
0x24ad9d8c7a9bd6221184ab2b769ecdc9b3496e6c	22192075	0.000233%	$9.4206503	
0xe2bd295b495127933b9eb352607ec385b8b212c9	21938712	0.000230%	$9.3130964	
0x32e21c883926b9c5dd4bfcfc457733256b28ad59	20703562	0.000217%	$8.7887688	
0x0d6f7e4fe526f164e8e9c07c4b61e24546eba211	20597846	0.000216%	$8.7438918	
0x8479961d1a96150b2c92a3c22ec8305cfefcdddb	19217019	0.000202%	$8.1577237	
0x9cdb27d4a7aef85a83e6293158b347286155c957	15041751	0.000158%	$6.3853009	
0xf8aeddf7a6071619087ce71814123d909c4e28a8	11720272	0.000123%	$4.9753159	
0x2344ec2cb01b808edc81904ae8e615d6c8c8ac7f	9864122	0.000103%	$4.1873707	
0x000000000004444c5dc75cb358380d2e3de08a90	9535671	0.000100%	$4.0479415	
0xe9c245293dac615c11a5bf26fcec91c3617645e4	9378869	0.000098%	$3.9813783	
0x5bac577acb405a7f871c3e631223106a328c05a9	9015193	0.000095%	$3.8269959	
0xdf2e88adbbede67e2be529d3980cf6a4f56cc315	7935226	0.000083%	$3.3685444	
0x552a101c7ad65338ea35266184a389caef7efbb8	4982320	0.000052%	$2.1150205	
0x609b2909b4d359d49282d260734e802140240e05	4934084	0.000052%	$2.0945441	
0xa720a695cfb6786ec796b78f034016b99e1a6046	4916992	0.000052%	$2.0872885	
0x5d788b991277aa5b0cf03dc1cd75715eadb382e2	4782437	0.000050%	$2.0301692	
0x1c0c6a8194244970470fed7dfd9969be8bf95a71	4660974	0.000049%	$1.9786075	
0x991aead6d80263270de74279cb5bb707f0405b62	4350111	0.000046%	$1.8466446	
0x50c1ca44f32636498b739fe346a350b85e408cbe	3955063	0.000041%	$1.6789446	
0x82676cdf251cf09f0bf68776bd9372e35ec92eca	3933641	0.000041%	$1.6698509	
0x34ae56eab5daac28c0509f33e4509f4b7baecc5c	3602478	0.000038%	$1.5292705	
0x185007e743b88cdc3fcc9d2afe4d7784d6bb55cc	3592223	0.000038%	$1.5249172	
0xa8bf6fc9f4bb105fcc264db561c360fcbfd5fa94	3193984	0.000033%	$1.3558627	
0x7727781d54739c12fae9e85b365d5d7188a734c7	3095244	0.000032%	$1.3139470	
0xc9a833897b7b07a0b4eee66ad542fd5d31b2677d	2842137	0.000030%	$1.2065018	
0x28cd8363cbeae51faf8ae752aee7c37bc2a85120	2820563	0.000030%	$1.1973435	
0xc3f5241050332c4b62dadaa5cb50539d96506a8d	2748625	0.000029%	$1.1668055	
0xb05ddfcdc2565c34d004be4b8029abd1dc8aa094	2315236	0.000024%	$0.9828296	
0x1802f3af0b5898c1a7fd82daa02f2c907f293822	2089590	0.000022%	$0.8870417	
0x55321405a87c9871df405106883c51f3df73aa7f	1854463	0.000019%	$0.7872291	
0x083d245244f8dc25b871703fec621fe1d5bbbcb6	1838488	0.000019%	$0.7804476	
0xbf2ba6734e770794daf33323009d2ad802c12d5c	1479264	0.000016%	$0.6279552	
0xdd5eea673c77a207b6b2b8ca2b3daea8252699bc	1477170	0.000015%	$0.6270663	
0x64d00f5a54af181c64981380657b60aad8e0f34e	1440894	0.000015%	$0.6116669	
0x18615f267ce36200c9d881dbcc154fc6bd2c99d8	1439453	0.000015%	$0.6110552	
0xf7f0da4b7bea918fe720118d6454c053331c2e84	1403845	0.000015%	$0.5959394	
0x361aedf25d4bfb5a70831f1785b7bcbc0f9c14f6	1352496	0.000014%	$0.5741415	
0x017f6cdea732fcb89c28877e581fc1883446468c	1338268	0.000014%	$0.5681017	
0x894b493bc5e70d7b1030f131c5abba657772518c	1122430	0.000012%	$0.4764773	
0x3076faca1acad841ecc374a4cbefbe08b52986dd	1057623	0.000011%	$0.4489664	
0x88a135d9ac7583eb45c1c140fbf6ce474f1f7789	999999	0.000010%	$0.4245047	
0xb30964e77a125cfb11b4affc4dc1fa976619938b	995562	0.000010%	$0.4226212	
0x28f4e9df9c628ba8c2fc9ba00b65b3f7be9d7c4e	959545	0.000010%	$0.4073318	
0x0d336d036851c5b2984ee5cb78dbf441b5b8e8f7	944240	0.000010%	$0.4008347	
0xf8120971afed275bb66ab6eb8885cb014ff76f58	941321	0.000010%	$0.3995956	
0x0ca734e7a0d01dd7fcfd6d42aeb5dea7173ac5b1	934357	0.000010%	$0.3966394	
0x44a52d3930c146b43141f687286449043528e551	871936	0.000009%	$0.3701413	
0x0bed17ba364ea8c37188a6b969e905e9b57fe1ad	870458	0.000009%	$0.3695139	
0x12618d8c2548e458417be7a5b7d3d59dd666231f	797332	0.000008%	$0.3384715	
0xcfd9d328d2d0ded027141aee397894f1f0d9d760	735635	0.000008%	$0.3122809	
0x722b7388892865e16ca60e4c89aa53607fce95e9	720614	0.000008%	$0.3059044	
0x175151745b26fd28672d687e30b9621780e5e4e5	717947	0.000008%	$0.3047722	
0xcd6f84b4b1176f7b26991b6b69beb595ec3ebb57	708002	0.000007%	$0.3005505	
0x69fad72900b145e92afd271441dbb7b916b87820	700454	0.000007%	$0.2973463	
0xf2be8dabf6611a7f06f74823bc2f035426d6ff8d	687362	0.000007%	$0.2917887	
0x288b4085e9a9bce28c557758a7b248c988df2bda	610892	0.000006%	$0.2593268	
0x3007329529f16e20d22a16a37f5813567710e794	601546	0.000006%	$0.2553594	
0x14798f3f609d5e4e17f1352b1c7727e5890da14e	538310	0.000006%	$0.2285154	
0xd8da47001487e81db374fb092a83bd7b99c29324	519396	0.000005%	$0.2204863	
0x10649c79428d718621821cf6299e91920284743f	497356	0.000005%	$0.2111302	
0xc32ca5bd16512515b6dd0225fb4eea9a91f6c9b5	475900	0.000005%	$0.2020220	
0x2fd16bd08dbd81f04ab8969ac878433b7fc915d2	474112	0.000005%	$0.2012630	
0x5c43e98a8512430bc794cede29863b31fd768c8a	473218	0.000005%	$0.2008835	
0x5ce34a60c264c6129c3aca2779c5f3778b1e6a84	471966	0.000005%	$0.2003520	
0x32c67386f23b537db8e9fd6e85ebe14f044b4d57	454370	0.000005%	$0.1928824	
0x9262c51b011262353937b44ab7769e4df9e8bab9	419061	0.000004%	$0.1778936	
0x277389dbeb83c7ff33233cf87b7f29f3a2eaa118	391834	0.000004%	$0.1663356	
0xff85ab7a8094b8124988d7158769b9d9edbd3b67	337498	0.000004%	$0.1432696	
0x4d344f5bcc205057ebdaa6a8246a636f41439ccf	324669	0.000003%	$0.1378237	
0x3e407a312f06f5989acf36580f56284a5f015095	295095	0.000003%	$0.1252693	
0x116ec66dbb814c06b465de276e3b02d28590173b	290510	0.000003%	$0.1233230	
