Account ID	Shares	Share of total	Recovered	Comment
0xd6a38c38594885693e8c36b3644d4a60f4f82814	285044	0.000003%	$0.1210026	
0x889b796bc286f7e2a1e40fa7b0443c6310badffb	275010	0.000003%	$0.1167432	
0x7fe9dae544150b541fb525371bf3e54121c4b90b	256686	0.000003%	$0.1089645	
0xea4782a394c93f3a889ba31e565b233e59e7b38e	254284	0.000003%	$0.1079449	
0xc650ba42c2fce0e030e4022b12d419ca5780d008	252535	0.000003%	$0.1072024	
0xc406e8090f5a5646044a4c590d3a8d904a47cb56	246762	0.000003%	$0.1047517	
0x1f5fee88399ceadfa35d47026cb4a1a7678fcd8e	239128	0.000003%	$0.1015111	
0xafbe59f46cc6b062503478fba3ad0a9e55e4da47	222540	0.000002%	$0.0944694	
0x1bca3ab7abc091f28feb1891f847aa566ef383a4	205994	0.000002%	$0.0874455	
0x979f195c099db4e16b2689acba70b63f82063d64	199165	0.000002%	$0.0845466	
0x5f43df927057f414a1931f99d936a19e957eaf43	194116	0.000002%	$0.0824032	
0x9c1ef014c272bee1e4f737e147bacc6b2e6a0e39	176168	0.000002%	$0.0747842	
0x31bbab9da20a2d0eb65c187c45f440af4d2bb65f	150493	0.000002%	$0.0638851	
0x0f94d7465deeab3f97e967f0212def88bb2c8b97	148350	0.000002%	$0.0629753	
0x480abf5ad71706edcdedb02ed93769199dd484e8	142881	0.000001%	$0.0606537	
0x4f362fc1ca20f8ed6dbfc7ed98d3542062e6c721	141204	0.000001%	$0.0599418	
0xcc06fec72a194ea08242ce91ac9831076f9cc4ea	140258	0.000001%	$0.0595402	
0x649b5a9b163b329d431711c331e78d7388bc3530	129099	0.000001%	$0.0548032	
0xffad76e045e3e2f8add00c29392aea6e26120cbd	121845	0.000001%	$0.0517238	
0x4e8f76c9d44a5dd9b8dc22ec9ecbcda403c43f2e	115224	0.000001%	$0.0489132	
0xd5c6498c492a7938262a13631e1919d5dece456e	110573	0.000001%	$0.0469388	
0x525066ba60f5449f3eff104327738eef55204ee4	90045	0.000001%	$0.0382246	
0x84ba99c52cb57958c4a8b942312a5c35f5abf8fe	88244	0.000001%	$0.0374600	
0x441c16c5f9ab34539fe5fdaffd9dd17f6ea652d7	88071	0.000001%	$0.0373866	
0xaaceb6b7cc54d9fb75be9c066136ff1dc5bdaace	87450	0.000001%	$0.0371230	
0xee1ad18e547c1ed1c55d30fc129a0f1068040259	84778	0.000001%	$0.0359887	
0x2fd1b8ee4a4193fd2e3cd6f40f94c475b0651d92	81494	0.000001%	$0.0345946	
0xe048d8c1c5201c353f254f99a496bf341da83301	79167	0.000001%	$0.0336068	
0xca18e3b4de16dfb86d12be5720aefc0302139ff1	76215	0.000001%	$0.0323537	
0x60c96effef9a890e6f21c85ccf7dbaebbe362449	75181	0.000001%	$0.0319147	
0xad11fbe67b9af6c36a88a95120e0abff8097e827	73115	0.000001%	$0.0310377	
0xbdda74501979f859241a49df27e327bb5ccc71dc	66765	0.000001%	$0.0283421	
0x86cd623b388da2a8a392bf08042ffd36e83fc854	62305	0.000001%	$0.0264488	
0x9a0c3eceae9c3abafe02b1084c644b46fdd0dc00	62031	0.000001%	$0.0263325	
0x73eceb1199d4015a707be190dd008fca8b22307e	58740	0.000001%	$0.0249354	
0xf16f7c8abb9370d87d9017af509f800b9ce643a4	58673	0.000001%	$0.0249070	
0x1bead8224c1d226af34dbb47a0e51f39d1a02e28	56270	0.000001%	$0.0238869	
0x7b4343ff2b3b682d7c7b68bedd12a15265314b8d	55140	0.000001%	$0.0234072	
0xe3d118fd425ee406e59a62eabbf87dcaf912a8a1	52725	0.000001%	$0.0223820	
0xdc4a42e35957a9eb77c3179b82ae621a4c2d6792	52460	0.000001%	$0.0222695	
0x1e072741e504c8da2380def7f912aa6c80839f23	51693	0.000001%	$0.0219439	
0x8c8843be05612ed2fc60b1fa109d10e5fab7ba32	48498	0.000001%	$0.0205877	
0x9ace3ec3a55c93ff1a21531d000ade8f714b7610	41844	0.000000%	$0.0177630	
0xaf74ee2ec3a1218604b729323ae7034e34c66dd6	41370	0.000000%	$0.0175618	
0xc3632e3c63b1e9643358aafed0660cf6522b94e5	40694	0.000000%	$0.0172748	
0x0f122f710f6aa85c0db8b1c61496cd63afc24c04	40262	0.000000%	$0.0170914	
0x2390a09a854df4403e7d64c8fc8a10e7675f26c8	37887	0.000000%	$0.0160832	
0x148ca58048f065b58e4fc90dfe6912964319dc15	36747	0.000000%	$0.0155993	
0x9ee9d8b639e39eb9d27894e092bb3701d968a05a	35917	0.000000%	$0.0152470	
0x591e4063f8b3cba934f024ff3510fe44ffac136e	28972	0.000000%	$0.0122988	
0xd55260994bea955fbf51e3942736e4a34b8469e0	27991	0.000000%	$0.0118823	
0x5a65e389b63c632e28bf2c415ea13bc467cb71fb	26506	0.000000%	$0.0112519	
0x71303ddf45edf22fbcabb116078e977f6b69b097	21996	0.000000%	$0.0093374	
0x414e88b5553e2c07827ee2f9b91ef709b552d867	20844	0.000000%	$0.0088484	
0x8bac096825e5d2cb2296752ed41e8d0d4d8b063f	20231	0.000000%	$0.0085882	
0x1507b4e1068a6918b2cfd2df0e3f4371a5bd7e06	18308	0.000000%	$0.0077718	
0x734feedeb234d1eb93491107336442baa96e5173	17860	0.000000%	$0.0075817	
0x8854235cc28ff3320f74c54f0fc4d74b6fcdccd4	16890	0.000000%	$0.0071699	
0x968d3009b1decf43801310b40438475d8a25b17c	16556	0.000000%	$0.0070281	
0xedaa1b492fdcde3ccc173c033bef95c691019611	15359	0.000000%	$0.0065200	
0xa83119b547665f654cbd311c95b3066d69772a94	14003	0.000000%	$0.0059443	
0xb3d84152ec200d76e2660abbac0e5618538723e5	13454	0.000000%	$0.0057113	
0xd691dd08f4119209947435c37816c0c606933325	13304	0.000000%	$0.0056476	
0xa5d75102143d05636a377e9fe32979f4ffa3ac93	11558	0.000000%	$0.0049064	
0xdeceb9d7ed3137517cb870a9a484754b39bf23c8	9374	0.000000%	$0.0039793	
0x234cb7cb07ecaae4d8a0f38ec51f8e92e1ed3e33	9204	0.000000%	$0.0039071	
0x8b520e4761313529e2d92fa3603f9f511132d31e	8858	0.000000%	$0.0037603	
0xffd18d1919c450ddd902acb293f509439af5bbf5	8789	0.000000%	$0.0037310	
0xf6b7eb8ab2ae408ef55a6475b20d3a671f79c6a9	8690	0.000000%	$0.0036889	
0xae786bacf1b30d26f909e673926c30f155e7e4db	8315	0.000000%	$0.0035298	
0x5238ce8152ef73ca5d6c091189ab1ce71b2d0dce	7531	0.000000%	$0.0031969	
0x0f94a0e07be8d5410a4e88bee59ffd13cc41a4b8	6777	0.000000%	$0.0028769	
0x3bdbd4fe28fdafec3c3b5671c423d5dfc55c2c28	6568	0.000000%	$0.0027881	
0x5bd0af9d2d488bb9aa780d8461b328a709edccf1	6099	0.000000%	$0.0025891	
0x3ea68f8d482e4a288ef571e7ab1a3239949c229e	5996	0.000000%	$0.0025453	
0xcd8666538968f857858a4b652ba5248bbf831823	5876	0.000000%	$0.0024944	
0xa18057307680fa27d96bcefa7fc2eed594a300d1	5852	0.000000%	$0.0024842	
0x46af4f0eab7d01c236783a12128fdf023eae538f	5007	0.000000%	$0.0021255	
0xcd3b046f73f2f586bc4f7701698e633a5e7af066	4691	0.000000%	$0.0019914	
0x700c942fe24b943e026face4c19009d148ebaebe	4597	0.000000%	$0.0019515	
0x1faaf82da8bdabf245ee2a4bbcf2c3b6fbd9e2bf	4473	0.000000%	$0.0018988	
0x54455b4944210d6b07267cbb792ae92916863fe7	3379	0.000000%	$0.0014344	
0xc722ca2f6fe102da249a0dbd30ae6c51c264fd14	2906	0.000000%	$0.0012336	
0xf9f8451d3da9df4a19663059bb2d08b9ddd08eb3	2705	0.000000%	$0.0011483	
0x2afe563d1aa6b621eab4ebeff0aefd8e76138ece	2526	0.000000%	$0.0010723	
0xa6b3c5819ba625923a20bf2b1af20a856942f71f	2451	0.000000%	$0.0010405	
0xbe27193b35250fd175c326b85dc6882602279787	2421	0.000000%	$0.0010277	
0x92e1f95aa5eaccb6064be859556256190dc255c6	2302	0.000000%	$0.0009772	
0xe84585bbe50eb6a5f0d7312ab1154cfd3ea2f421	2272	0.000000%	$0.0009645	
0xd5e5c251cadc37b8f7ae3d473f817e7e482d8a07	2267	0.000000%	$0.0009624	
0x52f6991b7d12398d50ebb5286fb2b7853a43a22e	2259	0.000000%	$0.0009590	
0xa50c6d29f78ae02fa80c07b98db706c2ee89dcfc	2258	0.000000%	$0.0009585	
0xa67ab975a0ae0c0dcf0bd791ff96c9f6a298b7bf	2152	0.000000%	$0.0009135	
0x269a205d4f9fbe8b63c4ec32498bc6051d135ca8	2065	0.000000%	$0.0008766	
0x06e6c70c6320f927a70c061b81691233754b432f	2005	0.000000%	$0.0008511	
0x692a07e43f7c58fbde82b05ca6b14782baaf425a	1868	0.000000%	$0.0007930	
0x2e51d33945802848f9dda26b00527c7bceb4db57	1729	0.000000%	$0.0007340	
0x00f7ccbc1c8e23ff475294ef2ebb6eff9c1587d7	1718	0.000000%	$0.0007293	
0x876f0b4da3de3b274637946be4e124ffb390d0c4	1708	0.000000%	$0.0007251	
0xb49b6d039ec81e869babf2654986d8284bee3401	1271	0.000000%	$0.0005395	
0x3ab135afaaf20259babf87f4883411bf8d13b8dc	1224	0.000000%	$0.0005196	
0x5a6104fe1cfe9328535271a46b6f623dc5879c90	1214	0.000000%	$0.0005153	
0xf873a7f77d0df95e574834dfbdc062b105ddff1f	1140	0.000000%	$0.0004839	
0x9d57a9f8b4dd0c50f7993115ca17eaabb04f54b4	1124	0.000000%	$0.0004771	
0xb5e2475bb3253f1f590f5b5d9a9fc792d9dfc758	1084	0.000000%	$0.0004602	
0xccb5908297e4bf271f10c1b7a0b9ebfefdcf876a	1038	0.000000%	$0.0004406	
0x2652a0385848c029515f14b07219ff969e9f96a9	1002	0.000000%	$0.0004254	
0xef6505ec874aaa26f91f5d1fe83ff9dd211f0d56	930	0.000000%	$0.0003948	
0xfb898a4e7c59c8c7ffaebc9f19976b76bb6804da	921	0.000000%	$0.0003910	
0xe5fc8f3730b9ddfaeff05f2c97fa7dd51d9213b6	856	0.000000%	$0.0003634	
0x4596230acd3aba78d5faf13d9ebf6f130061a3d4	813	0.000000%	$0.0003451	
0x00adad101db40c2b61cb069a8f7f30e2b99a6b82	807	0.000000%	$0.0003426	
0x2e8330129ea5c01da9ea088f7fa14bac78748cfa	806	0.000000%	$0.0003422	
0xd12a4f0a739a49ad3d606f7a2f7e5f1493f6e7a0	748	0.000000%	$0.0003175	
0x8d8f4980f446fc93a647f58c6d33aa7383ca7ae5	747	0.000000%	$0.0003171	
0xcd55cdbc7ca4f60ac2d3637e727431e7bd83150e	739	0.000000%	$0.0003137	
0x83a32753d0fc6ec5dd5cbfcfdf49b2ba744e0b6c	718	0.000000%	$0.0003048	
0x68747fe36279f77022646e9332b9769836a3da76	673	0.000000%	$0.0002857	
0x939ed27b52f326fced003de1d2ae2d7bdb71746e	637	0.000000%	$0.0002704	
0x760a2c5dae9043b1f96c4c1209977decd26b9aab	629	0.000000%	$0.0002670	
0x4ba03461fcabaa4b290f2a7b652836cdb18f5ffd	629	0.000000%	$0.0002670	
0x46cc85e75631a834422f1db603b7e025995e3f6c	623	0.000000%	$0.0002645	
0x09be4d1f3555660021fce5b9d1b7a4919eccfaa1	612	0.000000%	$0.0002598	
0xd9539d9024fec9a271c72b6847546a5829efa218	608	0.000000%	$0.0002581	
0x501b1b9332b2218fc0e9f28e61da5f0838a83d5f	601	0.000000%	$0.0002551	
0xaed4f1087a2d5fc6fd4d46de485c97360c6a6f48	597	0.000000%	$0.0002534	
0xd8f4c8f5146f6893cad8a49c9e9292987a1eaa9b	586	0.000000%	$0.0002488	
0x453581629065e2c16c5b332fbf9395c5bf0a1a74	580	0.000000%	$0.0002462	
0xd34aa5580554d6afc5dc9afcd0f63968d5df5122	544	0.000000%	$0.0002309	
0x7b99b502d6fd890521e910051b7e697a5a5ac926	538	0.000000%	$0.0002284	
0x2858a8d37744790de50301bdaaf980df901554fe	530	0.000000%	$0.0002250	
0x491b8d3b58e76126483966239120f77f106f18b9	529	0.000000%	$0.0002246	
0x29e8372b927daf2bf8cbf44de81f1afa187b24a8	518	0.000000%	$0.0002199	
0x53d6b7ab281347c93d9617411e2d983b723bbfb0	397	0.000000%	$0.0001685	
0xbfd324173596d103e73c3e2cd73acdf768d753b0	389	0.000000%	$0.0001651	
0xdc8af175fc603cda1869982d206e78733ad69085	377	0.000000%	$0.0001600	
0x99587486e802e39347cb3e50c517d504dc87772a	305	0.000000%	$0.0001295	
0xa0f6fa10937f65d5a6a3d483a8eb7f52a5d0b344	274	0.000000%	$0.0001163	
0x432cd39d7c406869b7bafe91a30998a5dd1918b8	260	0.000000%	$0.0001104	
0xaa4a3cceb578305e56e34a7160154d776ccfafc4	224	0.000000%	$0.0000951	
0xc8e335f578e7fcd398ec2c7f4b4c9b9ad1d19802	164	0.000000%	$0.0000696	
0xd4ea1ee752abdc81074c54e1074ff81fc3730278	152	0.000000%	$0.0000645	
0x5829a6de69a33e17d6cf6181811ffc0f828bf9db	130	0.000000%	$0.0000552	
0xd1683efb3d316526ebd75bc3673eed477ad1e240	37	0.000000%	$0.0000157	
0xc815041f1f8402bc28c37b52635d4550d9f2f23d	27	0.000000%	$0.0000115	
0xf11a6f14e202ab0e98177bec0b04c59da74e074a	8	0.000000%	$0.0000034	
0x389b603c7b126ce9c7586edd2bb89efd560c8858	8	0.000000%	$0.0000034	
0x5b83c8d917b5a5fba776ada9804c1300dce75d10	3	0.000000%	$0.0000013	
0x2471cb902af53f652cc89a42b6269c2f57c72e56	1	0.000000%	$0.0000004	
0x21dc459fba0b1ea037cd221d35b928be1c26141a	1	0.000000%	$0.0000004	
